protein,tissue,scl,score
100463285,BTO:0000552,GO:0005634,3.15309094822
5468,BTO:0000793,GO:0031982,3.14766564829
5817,BTO:0000944,GO:0005925,3.14115961285
5829,BTO:0000793,GO:0005856,3.14105495002
5594,BTO:0000195,GO:0005634,3.134689868
100463498,BTO:0000552,GO:0005634,3.13085484646
2861,BTO:0000007,GO:0005783,3.12633742967
5599,BTO:0000018,GO:0005634,3.12210948201
2335,BTO:0000017,GO:0005856,3.1206483896
9844,BTO:0000944,GO:0005925,3.11869678408
2706,BTO:0000567,GO:0005886,3.11372956145
79805,BTO:0000599,GO:0005634,3.10646516485
27173,BTO:0001061,GO:0005886,3.09603242907
5310,BTO:0000195,GO:0030054,3.0904058638
6774,BTO:0000599,GO:0005634,3.08754902934
154,BTO:0000007,GO:0005886,3.08473533489
4277,BTO:0000599,GO:0031982,3.08240351376
2166,BTO:0000567,GO:0005886,3.08175991319
6331,BTO:0000007,GO:0005886,3.07660427303
5594,BTO:0000599,GO:0005634,3.07007903473
5324,BTO:0000944,GO:0005634,3.06640527692
22974,BTO:0000567,GO:0005856,3.06068602844
6696,BTO:0001061,GO:0005829,3.05272813198
6809,BTO:0000195,GO:0005886,3.0497235262
5591,BTO:0000018,GO:0005634,3.04451224492
7124,BTO:0000552,GO:0005634,3.03709144997
581,BTO:0000599,GO:0005739,3.03620619013
3783,BTO:0000007,GO:0005886,3.0356775483
5578,BTO:0000093,GO:0005829,3.03088068728
3309,BTO:0000793,GO:0005783,3.02577201009
841,BTO:0000567,GO:0005739,3.02109240062
7157,BTO:0000599,GO:0005739,3.01983184235
10257,BTO:0000007,GO:0005886,3.01137584896
672,BTO:0000093,GO:0005856,3.01036914606
581,BTO:0000599,GO:0005829,3.00976798391
1950,BTO:0000195,GO:0005856,3.00629055711
142,BTO:0000599,GO:0005634,3.00014144993
9787,BTO:0000567,GO:0005856,2.99922325236
7124,BTO:0000093,GO:0005634,2.9982092658
11065,BTO:0002035,GO:0005737,2.99219080716
5594,BTO:0000195,GO:0030054,2.98628443762
6714,BTO:0000018,GO:0005925,2.98527604267
219931,BTO:0000007,GO:0031982,2.98354676139
10726,BTO:0000944,GO:0005794,2.98320234353
328,BTO:0000567,GO:0005634,2.97026759771
53373,BTO:0000007,GO:0031982,2.9646676706
1831,BTO:0001938,GO:0005634,2.9621498178
1894,BTO:0000567,GO:0005856,2.95977728626
836,BTO:0000018,GO:0005829,2.95915502677
351,BTO:0000793,GO:0005634,2.95823431492
5321,BTO:0000018,GO:0005794,2.95372871146
5590,BTO:0000093,GO:0005886,2.95346565902
5594,BTO:0000007,GO:0005886,2.95221731469
387,BTO:0000567,GO:0005856,2.94938719731
4082,BTO:0000793,GO:0005886,2.94921273755
5594,BTO:0000093,GO:0005925,2.94737381742
6927,BTO:0000599,GO:0005634,2.94679149427
2908,BTO:0000018,GO:0005634,2.94604540133
311,BTO:0000017,GO:0005634,2.94441896922
3767,BTO:0000007,GO:0005886,2.93827950287
6646,BTO:0000195,GO:0005886,2.93601146664
5468,BTO:0002136,GO:0031982,2.93510248128
6439,BTO:0000195,GO:0005856,2.93246486627
2908,BTO:0001938,GO:0005634,2.93045655421
5747,BTO:0000567,GO:0005856,2.9256753606
5948,BTO:0000195,GO:0005634,2.92404591127
5621,BTO:0000793,GO:0005737,2.91605269703
24145,BTO:0000567,GO:0030054,2.91217746844
2806,BTO:0000195,GO:0005886,2.91151730746
836,BTO:0000093,GO:0005737,2.90923298082
596,BTO:0001061,GO:0005634,2.90586494235
3726,BTO:0000017,GO:0005856,2.90214916411
6667,BTO:0000018,GO:0005634,2.8997142187
284119,BTO:0001061,GO:0005886,2.89288193188
10498,BTO:0000552,GO:0005634,2.88658997894
163786,BTO:0001938,GO:0005856,2.88592616993
219972,BTO:0001938,GO:0005856,2.88592616993
10615,BTO:0000567,GO:0005856,2.87768323617
5970,BTO:0000195,GO:0030054,2.86851504014
4179,BTO:0000195,GO:0005886,2.864967197
3853,BTO:0001061,GO:0005856,2.86299527285
4170,BTO:0000018,GO:0005739,2.8612413581
1499,BTO:0000195,GO:0030054,2.86004031049
1263,BTO:0000567,GO:0005794,2.85862794407
142,BTO:0000018,GO:0005634,2.85682890935
3725,BTO:0000567,GO:0005634,2.8558208238
6523,BTO:0000195,GO:0005886,2.8544850936
54205,BTO:0000567,GO:0005634,2.85361231892
9075,BTO:0000018,GO:0030054,2.84914826966
6518,BTO:0000195,GO:0005886,2.84882553017
11190,BTO:0001938,GO:0005856,2.84776800525
29108,BTO:0000007,GO:0005737,2.8466827895
5781,BTO:0000018,GO:0005634,2.84174529036
7448,BTO:0002035,GO:0005925,2.83763501633
5901,BTO:0000567,GO:0005634,2.82779655597
51293,BTO:0000195,GO:0005886,2.82668374625
27130,BTO:0000195,GO:0005886,2.82668374625
572,BTO:0000018,GO:0005739,2.82197942727
5966,BTO:0000567,GO:0005634,2.81785453345
7001,BTO:0000552,GO:0005634,2.81772037641
650,BTO:0000093,GO:0005856,2.81676290888
3596,BTO:0002035,GO:0005829,2.81640737299
6531,BTO:0000007,GO:0005886,2.8083559279
6772,BTO:0000567,GO:0005634,2.80693092092
3239,BTO:0000599,GO:0031982,2.80561214974
6066,BTO:0000567,GO:0005634,2.79819126723
8636,BTO:0000567,GO:0005856,2.79508541705
5468,BTO:0000195,GO:0031982,2.79455898847
367,BTO:0000093,GO:0005829,2.79235553209
7220,BTO:0000007,GO:0005886,2.79151158299
128853,BTO:0000944,GO:0005794,2.79006258743
1317,BTO:0000007,GO:0005886,2.78982795497
